created_at,avg_motion
17/09/20 21:18,0
17/09/20 21:29,0
17/09/20 21:31,0
17/09/20 21:32,0
17/09/20 21:34,0
17/09/20 21:35,0
17/09/20 21:56,0.5
17/09/20 21:57,0
17/09/20 21:59,0.333333333
17/09/20 22:00,0.5
17/09/20 22:02,
17/09/20 22:55,
17/09/20 22:57,
17/09/20 22:59,
17/09/20 23:00,
17/09/20 23:02,
17/09/20 23:55,
17/09/20 23:57,
17/09/20 23:59,
18/09/20 0:00,
18/09/20 0:02,
18/09/20 0:56,
18/09/20 0:57,
18/09/20 0:59,
18/09/20 1:00,
18/09/20 1:02,
18/09/20 1:55,
18/09/20 1:57,
18/09/20 1:59,
18/09/20 2:00,
18/09/20 2:02,
18/09/20 2:56,
18/09/20 2:57,
18/09/20 2:59,
18/09/20 3:00,
18/09/20 3:02,
18/09/20 3:55,
18/09/20 3:57,
18/09/20 3:59,
18/09/20 4:00,
18/09/20 4:02,
18/09/20 4:56,
18/09/20 4:57,
18/09/20 4:59,
18/09/20 5:00,
18/09/20 5:02,
18/09/20 5:55,
18/09/20 5:57,
18/09/20 5:59,
18/09/20 6:00,
18/09/20 6:02,
18/09/20 6:55,
18/09/20 6:57,
18/09/20 6:59,
18/09/20 7:00,
18/09/20 7:02,
18/09/20 7:55,
18/09/20 7:57,
18/09/20 7:59,
18/09/20 8:00,
18/09/20 8:02,
18/09/20 8:25,
18/09/20 8:26,
18/09/20 8:28,
18/09/20 8:29,
18/09/20 8:31,
18/09/20 11:50,0.175
18/09/20 11:53,0
18/09/20 11:55,0.008333333
18/09/20 11:58,0
18/09/20 12:01,0
18/09/20 12:51,0
18/09/20 12:53,0
18/09/20 12:56,0
18/09/20 12:58,0
18/09/20 13:01,0
18/09/20 13:50,0.108333333
18/09/20 13:53,0.026666667
18/09/20 13:56,0.016666667
18/09/20 13:58,0.053333333
18/09/20 14:01,0
18/09/20 14:50,0
18/09/20 14:53,0
18/09/20 14:55,0.008333333
18/09/20 14:58,0
18/09/20 15:01,0
18/09/20 15:51,0
18/09/20 15:53,0
18/09/20 15:56,0.043333333
18/09/20 15:58,0
18/09/20 16:01,0
18/09/20 16:50,0
18/09/20 16:53,0.026666667
18/09/20 16:56,0
18/09/20 16:58,0
18/09/20 17:01,0
18/09/20 17:51,0
18/09/20 17:53,0
18/09/20 17:56,0
18/09/20 17:58,0
18/09/20 18:01,0
18/09/20 18:50,0.318333333
18/09/20 18:53,0.383333333
18/09/20 18:56,0.345
18/09/20 18:58,0.293333333
18/09/20 19:01,0.323333333
18/09/20 19:51,0
18/09/20 19:53,0
18/09/20 19:56,0
18/09/20 19:58,0
18/09/20 20:01,0
18/09/20 20:50,0.083333333
18/09/20 20:53,0
18/09/20 20:56,0
18/09/20 20:58,0.041666667
18/09/20 21:01,0.001666667
18/09/20 21:16,0.221666667
18/09/20 21:18,0.151666667
18/09/20 21:21,0
18/09/20 21:23,0
18/09/20 21:26,0.175
18/09/20 21:26,0.171666667
18/09/20 21:28,0.003333333
18/09/20 21:31,0.253333333
18/09/20 21:33,0.365
18/09/20 21:36,
18/09/20 21:36,
18/09/20 21:38,
18/09/20 21:41,
18/09/20 21:43,
18/09/20 21:46,
18/09/20 21:46,
18/09/20 21:48,
18/09/20 21:51,
18/09/20 21:53,
18/09/20 21:56,
18/09/20 21:56,
18/09/20 21:58,
18/09/20 22:01,
18/09/20 22:03,
18/09/20 22:06,
18/09/20 22:06,
18/09/20 22:08,
18/09/20 22:11,
18/09/20 22:13,
18/09/20 22:16,
18/09/20 22:16,
18/09/20 22:18,
18/09/20 22:21,
18/09/20 22:23,
18/09/20 22:26,
18/09/20 22:26,
18/09/20 22:28,
18/09/20 22:31,
18/09/20 22:33,
18/09/20 22:36,
18/09/20 22:36,
18/09/20 22:38,
18/09/20 22:41,
18/09/20 22:43,
18/09/20 22:46,
18/09/20 22:46,
18/09/20 22:48,
18/09/20 22:51,
18/09/20 22:53,
18/09/20 22:56,
18/09/20 22:56,
18/09/20 22:58,
18/09/20 23:01,
18/09/20 23:03,
18/09/20 23:06,
18/09/20 23:06,
18/09/20 23:08,
18/09/20 23:11,
18/09/20 23:13,
18/09/20 23:16,
18/09/20 23:16,
18/09/20 23:18,
18/09/20 23:21,
18/09/20 23:23,
18/09/20 23:26,
18/09/20 23:26,
18/09/20 23:28,
18/09/20 23:31,
18/09/20 23:33,
18/09/20 23:36,
18/09/20 23:36,
18/09/20 23:38,
18/09/20 23:41,
18/09/20 23:43,
18/09/20 23:46,
18/09/20 23:46,
18/09/20 23:48,
18/09/20 23:51,
18/09/20 23:53,
18/09/20 23:56,
18/09/20 23:56,
18/09/20 23:58,
19/09/20 0:01,
19/09/20 0:03,
19/09/20 0:06,
19/09/20 0:06,
19/09/20 0:08,
19/09/20 0:11,
19/09/20 0:13,
19/09/20 0:16,
19/09/20 0:16,
19/09/20 0:18,
19/09/20 0:21,
19/09/20 0:23,
19/09/20 0:26,
19/09/20 0:26,
19/09/20 0:28,
19/09/20 0:31,
19/09/20 0:33,
19/09/20 0:36,
19/09/20 0:36,
19/09/20 0:38,
19/09/20 0:41,
19/09/20 0:43,
19/09/20 0:46,
19/09/20 0:46,
19/09/20 0:48,
19/09/20 0:51,
19/09/20 0:53,
19/09/20 0:56,
19/09/20 0:56,
19/09/20 0:58,
19/09/20 1:01,
19/09/20 1:03,
19/09/20 1:06,
19/09/20 1:06,
19/09/20 1:08,
19/09/20 1:11,
19/09/20 1:13,
19/09/20 1:16,
19/09/20 1:16,
19/09/20 1:18,
19/09/20 1:21,
19/09/20 1:23,
19/09/20 1:26,
19/09/20 1:26,
19/09/20 1:28,
19/09/20 1:31,
19/09/20 1:33,
19/09/20 1:36,
19/09/20 1:36,
19/09/20 1:38,
19/09/20 1:41,
19/09/20 1:43,
19/09/20 1:46,
19/09/20 1:46,
19/09/20 1:48,
19/09/20 1:51,
19/09/20 1:53,
19/09/20 1:56,
19/09/20 1:56,
19/09/20 1:58,
19/09/20 2:01,
19/09/20 2:03,
19/09/20 2:06,
19/09/20 2:06,
19/09/20 2:08,
19/09/20 2:11,
19/09/20 2:13,
19/09/20 2:16,
19/09/20 2:16,
19/09/20 2:18,
19/09/20 2:21,
19/09/20 2:23,
19/09/20 2:26,
19/09/20 2:26,
19/09/20 2:28,
19/09/20 2:31,
19/09/20 2:33,
19/09/20 2:36,
19/09/20 2:36,
19/09/20 2:38,
19/09/20 2:41,
19/09/20 2:43,
19/09/20 2:46,
19/09/20 2:46,
19/09/20 2:48,
19/09/20 2:51,
19/09/20 2:53,
19/09/20 2:56,
19/09/20 2:56,
19/09/20 2:58,
19/09/20 3:01,
19/09/20 3:03,
19/09/20 3:06,
19/09/20 3:06,
19/09/20 3:08,
19/09/20 3:11,
19/09/20 3:13,
19/09/20 3:16,
19/09/20 3:16,
19/09/20 3:18,
19/09/20 3:21,
19/09/20 3:23,
19/09/20 3:26,
19/09/20 3:26,
19/09/20 3:28,
19/09/20 3:31,
19/09/20 3:33,
19/09/20 3:36,
19/09/20 3:36,
19/09/20 3:38,
19/09/20 3:41,
19/09/20 3:43,
19/09/20 3:46,
19/09/20 3:46,
19/09/20 3:48,
19/09/20 3:51,
19/09/20 3:53,
19/09/20 3:56,
19/09/20 3:56,
19/09/20 3:58,
19/09/20 4:01,
19/09/20 4:03,
19/09/20 4:06,
19/09/20 4:06,
19/09/20 4:08,
19/09/20 4:11,
19/09/20 4:13,
19/09/20 4:16,
19/09/20 4:16,
19/09/20 4:18,
19/09/20 4:21,
19/09/20 4:23,
19/09/20 4:26,
19/09/20 4:26,
19/09/20 4:28,
19/09/20 4:31,
19/09/20 4:33,
19/09/20 4:36,
19/09/20 4:36,
19/09/20 4:38,
19/09/20 4:41,
19/09/20 4:43,
19/09/20 4:46,
19/09/20 4:46,
19/09/20 4:48,
19/09/20 4:51,
19/09/20 4:53,
19/09/20 4:56,
19/09/20 4:56,
19/09/20 4:58,
19/09/20 5:01,
19/09/20 5:03,
19/09/20 5:06,
19/09/20 5:05,
19/09/20 5:08,
19/09/20 5:11,
19/09/20 5:13,
19/09/20 5:16,
19/09/20 5:15,
19/09/20 5:18,
19/09/20 5:21,
19/09/20 5:23,
19/09/20 5:26,
19/09/20 5:25,
19/09/20 5:28,
19/09/20 5:31,
19/09/20 5:33,
19/09/20 5:36,
19/09/20 5:35,
19/09/20 5:38,
19/09/20 5:41,
19/09/20 5:43,
19/09/20 5:46,
19/09/20 5:45,
19/09/20 5:48,
19/09/20 5:51,
19/09/20 5:53,
19/09/20 5:56,
19/09/20 5:55,
19/09/20 5:58,
19/09/20 6:01,
19/09/20 6:03,
19/09/20 6:06,
19/09/20 6:05,
19/09/20 6:08,
19/09/20 6:11,
19/09/20 6:13,
19/09/20 6:16,
19/09/20 6:15,
19/09/20 6:18,
19/09/20 6:21,
19/09/20 6:23,
19/09/20 6:26,
19/09/20 6:25,
19/09/20 6:28,
19/09/20 6:31,
19/09/20 6:33,
19/09/20 6:36,
19/09/20 6:35,
19/09/20 6:38,
19/09/20 6:41,
19/09/20 6:43,
19/09/20 6:46,
19/09/20 6:45,
19/09/20 6:48,
19/09/20 6:51,
19/09/20 6:53,
19/09/20 6:56,
19/09/20 6:55,
19/09/20 6:58,
19/09/20 7:01,
19/09/20 7:03,
19/09/20 7:06,
19/09/20 7:05,
19/09/20 7:08,
19/09/20 7:11,
19/09/20 7:13,
19/09/20 7:16,
19/09/20 7:15,
19/09/20 7:18,
19/09/20 7:21,
19/09/20 7:23,
19/09/20 7:26,
19/09/20 7:25,
19/09/20 7:28,
19/09/20 7:31,
19/09/20 7:33,
19/09/20 7:36,
19/09/20 7:35,
19/09/20 7:38,
19/09/20 7:41,
19/09/20 7:43,
19/09/20 7:46,
19/09/20 7:45,
19/09/20 7:48,
19/09/20 7:51,
19/09/20 7:53,
19/09/20 7:56,
19/09/20 7:55,
19/09/20 7:58,
19/09/20 8:01,
19/09/20 8:03,
19/09/20 8:06,
19/09/20 8:05,
19/09/20 8:08,
19/09/20 8:11,
19/09/20 8:13,
19/09/20 8:16,
19/09/20 8:15,
19/09/20 8:18,
19/09/20 8:21,
19/09/20 8:23,
19/09/20 8:26,
19/09/20 8:25,
19/09/20 8:28,
19/09/20 8:31,
19/09/20 8:33,
19/09/20 8:36,
19/09/20 8:35,
19/09/20 8:38,
19/09/20 8:41,
19/09/20 8:43,
19/09/20 8:46,
19/09/20 8:45,
19/09/20 8:48,
19/09/20 8:51,
19/09/20 8:53,
19/09/20 8:56,
19/09/20 8:55,
19/09/20 8:58,
19/09/20 9:01,
19/09/20 9:03,
19/09/20 9:06,
19/09/20 9:05,
19/09/20 9:08,
19/09/20 9:11,
19/09/20 9:13,
19/09/20 9:16,
19/09/20 9:15,
19/09/20 9:18,
19/09/20 9:21,
19/09/20 9:23,
19/09/20 9:26,
19/09/20 9:25,
19/09/20 9:28,
19/09/20 9:31,
19/09/20 9:33,
19/09/20 9:36,
19/09/20 9:35,
19/09/20 9:38,
19/09/20 9:41,
19/09/20 9:43,
19/09/20 9:46,
19/09/20 9:45,
19/09/20 9:48,
19/09/20 9:50,
19/09/20 9:53,
19/09/20 9:56,
19/09/20 9:55,
19/09/20 9:58,
19/09/20 10:00,
19/09/20 10:03,
19/09/20 10:06,
19/09/20 10:08,
19/09/20 10:11,
19/09/20 10:13,
19/09/20 10:16,
19/09/20 10:16,
19/09/20 10:18,
19/09/20 10:21,
19/09/20 10:23,
19/09/20 10:26,
19/09/20 10:26,
19/09/20 10:28,
19/09/20 10:31,
19/09/20 10:33,
19/09/20 10:36,
19/09/20 10:36,
19/09/20 10:38,
19/09/20 10:41,
19/09/20 10:43,
19/09/20 10:46,
19/09/20 10:46,
19/09/20 10:48,
19/09/20 10:51,
19/09/20 10:53,
19/09/20 10:56,
19/09/20 10:56,
19/09/20 10:58,
19/09/20 11:01,
19/09/20 11:03,
19/09/20 11:06,
19/09/20 11:05,
19/09/20 11:08,
19/09/20 11:11,
19/09/20 11:13,
19/09/20 11:16,
19/09/20 11:15,
19/09/20 11:18,
19/09/20 11:21,
19/09/20 11:23,
19/09/20 11:26,
19/09/20 11:25,
19/09/20 11:28,
19/09/20 11:31,
19/09/20 11:33,
19/09/20 11:36,
19/09/20 11:35,
19/09/20 11:38,
19/09/20 11:41,
19/09/20 11:43,
19/09/20 11:46,
19/09/20 11:45,
19/09/20 11:48,
19/09/20 11:51,
19/09/20 11:53,
19/09/20 11:56,
19/09/20 11:55,
19/09/20 11:58,
19/09/20 12:01,
19/09/20 12:03,
19/09/20 12:06,
19/09/20 12:05,
19/09/20 12:08,
19/09/20 12:11,
19/09/20 12:13,
19/09/20 12:16,
19/09/20 12:15,
19/09/20 12:18,
19/09/20 12:21,
19/09/20 12:23,
19/09/20 12:26,
19/09/20 12:25,
19/09/20 12:28,
19/09/20 12:30,
19/09/20 12:33,
19/09/20 12:36,
19/09/20 12:38,
19/09/20 12:41,
19/09/20 12:44,
19/09/20 12:46,
19/09/20 12:46,
19/09/20 12:48,
19/09/20 12:51,
19/09/20 12:53,
19/09/20 12:56,
19/09/20 12:56,
19/09/20 12:58,
19/09/20 13:01,
19/09/20 13:03,
19/09/20 13:06,
19/09/20 13:06,
19/09/20 13:08,
19/09/20 13:11,
19/09/20 13:13,
19/09/20 13:16,
19/09/20 13:16,
19/09/20 13:18,
19/09/20 13:21,
19/09/20 13:23,
19/09/20 13:26,
19/09/20 13:26,
19/09/20 13:28,
19/09/20 13:31,
19/09/20 13:33,
19/09/20 13:36,
19/09/20 13:36,
19/09/20 13:38,
19/09/20 13:41,
19/09/20 13:43,
19/09/20 13:46,
19/09/20 13:45,
19/09/20 13:48,
19/09/20 13:51,
19/09/20 13:53,
19/09/20 13:56,
19/09/20 13:55,
19/09/20 13:58,
19/09/20 14:01,
19/09/20 14:03,
19/09/20 14:06,
19/09/20 14:05,
19/09/20 14:08,
19/09/20 14:11,
19/09/20 14:13,
19/09/20 14:16,
19/09/20 14:15,
19/09/20 14:18,
19/09/20 14:21,
19/09/20 14:23,
19/09/20 14:26,
19/09/20 14:25,
19/09/20 14:28,
19/09/20 14:31,
19/09/20 14:33,
19/09/20 14:36,
19/09/20 14:35,
19/09/20 14:38,
19/09/20 14:41,
19/09/20 14:43,
19/09/20 14:46,
19/09/20 14:45,
19/09/20 14:48,
19/09/20 14:51,
19/09/20 14:53,
19/09/20 14:56,
19/09/20 14:55,
19/09/20 14:58,
19/09/20 15:01,
19/09/20 15:03,
19/09/20 15:06,
19/09/20 15:08,
19/09/20 15:11,
19/09/20 15:14,
19/09/20 15:16,
19/09/20 15:16,
19/09/20 15:18,
19/09/20 15:21,
19/09/20 15:23,
19/09/20 15:26,
19/09/20 15:26,
19/09/20 15:28,
19/09/20 15:31,
19/09/20 15:33,
19/09/20 15:36,
19/09/20 15:36,
19/09/20 15:38,
19/09/20 15:41,
19/09/20 15:43,
19/09/20 15:46,
19/09/20 15:46,
19/09/20 15:48,
19/09/20 15:51,
19/09/20 15:53,
19/09/20 15:56,
19/09/20 15:56,
19/09/20 15:58,
19/09/20 16:01,
19/09/20 16:03,
19/09/20 16:06,
19/09/20 16:06,
19/09/20 16:08,
19/09/20 16:11,
19/09/20 16:13,
19/09/20 16:16,
19/09/20 16:16,
19/09/20 16:18,
19/09/20 16:21,
19/09/20 16:23,
19/09/20 16:26,
19/09/20 16:25,
19/09/20 16:28,
19/09/20 16:31,
19/09/20 16:33,
19/09/20 16:36,
19/09/20 16:35,
19/09/20 16:38,
19/09/20 16:41,
19/09/20 16:43,
19/09/20 16:46,
19/09/20 16:45,
19/09/20 16:48,
19/09/20 16:51,
19/09/20 16:53,
19/09/20 16:56,
19/09/20 16:55,
19/09/20 16:58,
19/09/20 17:01,
19/09/20 17:03,
19/09/20 17:06,
19/09/20 17:05,
19/09/20 17:08,
19/09/20 17:11,
19/09/20 17:13,
19/09/20 17:16,
19/09/20 17:15,
19/09/20 17:18,
19/09/20 17:21,
19/09/20 17:23,
19/09/20 17:26,
19/09/20 17:25,
19/09/20 17:28,
19/09/20 17:31,
19/09/20 17:33,
19/09/20 17:36,
19/09/20 17:35,
19/09/20 17:38,
19/09/20 17:41,
19/09/20 17:43,
19/09/20 17:46,
19/09/20 17:45,
19/09/20 17:48,
19/09/20 17:51,
19/09/20 17:53,
19/09/20 17:56,
19/09/20 17:55,
19/09/20 17:58,
19/09/20 18:01,
19/09/20 18:03,
19/09/20 18:06,
19/09/20 18:05,
19/09/20 18:08,
19/09/20 18:11,
19/09/20 18:13,
19/09/20 18:16,
19/09/20 18:15,
19/09/20 18:18,
19/09/20 18:20,
19/09/20 18:23,
19/09/20 18:26,
19/09/20 18:25,
19/09/20 18:28,
19/09/20 18:31,
19/09/20 18:33,
